CustomerKey,FirstName,MiddleName,LastName,Full Name,Gender,DateFirstPurchase,City,CountryName
11000,Jon,V,Yang,Jon Yang,Male,2019-01-19,Rockhampton,Australia
11001,Eugene,L,Huang,Eugene Huang,Male,2019-01-15,Seaford,Australia
11002,Ruben,NULL,Torres,Ruben Torres,Male,2019-01-07,Hobart,Australia
11003,Christy,NULL,Zhu,Christy Zhu,female,2018-12-29,North Ryde,Australia
11004,Elizabeth,NULL,Johnson,Elizabeth Johnson,female,2019-01-23,Wollongong,Australia
11005,Julio,NULL,Ruiz,Julio Ruiz,Male,2018-12-30,East Brisbane,Australia
11006,Janet,G,Alvarez,Janet Alvarez,female,2019-01-24,Matraville,Australia
11007,Marco,NULL,Mehta,Marco Mehta,Male,2019-01-09,Warrnambool,Australia
11008,Rob,NULL,Verhoff,Rob Verhoff,female,2019-01-25,Bendigo,Australia
11009,Shannon,C,Carlson,Shannon Carlson,Male,2019-01-27,Hervey Bay,Australia
11010,Jacquelyn,C,Suarez,Jacquelyn Suarez,female,2019-01-14,East Brisbane,Australia
11011,Curtis,NULL,Lu,Curtis Lu,Male,2018-12-30,East Brisbane,Australia
11012,Lauren,M,Walker,Lauren Walker,female,2021-03-16,Bremerton,United States
11013,Ian,M,Jenkins,Ian Jenkins,Male,2021-04-13,Lebanon,United States
11014,Sydney,NULL,Bennett,Sydney Bennett,female,2021-03-23,Redmond,United States
11015,Chloe,NULL,Young,Chloe Young,female,2021-01-18,Burbank,United States
11016,Wyatt,L,Hill,Wyatt Hill,Male,2021-02-09,Imperial Beach,United States
11017,Shannon,NULL,Wang,Shannon Wang,female,2019-01-12,Sunbury,Australia
11018,Clarence,D,Rai,Clarence Rai,Male,2019-01-17,Bendigo,Australia
11019,Luke,L,Lal,Luke Lal,Male,2021-02-12,Langley,Canada
11020,Jordan,C,King,Jordan King,Male,2020-12-29,Metchosin,Canada
11021,Destiny,NULL,Wilson,Destiny Wilson,female,2021-01-23,Beaverton,United States
11022,Ethan,G,Zhang,Ethan Zhang,Male,2021-01-20,Bellingham,United States
11023,Seth,M,Edwards,Seth Edwards,Male,2021-02-17,Bellflower,United States
11024,Russell,NULL,Xie,Russell Xie,Male,2021-06-27,Concord,United States
11025,Alejandro,NULL,Beck,Alejandro Beck,Male,2019-01-06,Hawthorne,Australia
11026,Harold,NULL,Sai,Harold Sai,Male,2019-01-23,Goulburn,Australia
11027,Jessie,R,Zhao,Jessie Zhao,Male,2019-01-16,Warrnambool,Australia
11028,Jill,NULL,Jimenez,Jill Jimenez,female,2019-01-26,St. Leonards,Australia
11029,Jimmy,L,Moreno,Jimmy Moreno,Male,2019-01-19,Bendigo,Australia
11030,Bethany,G,Yuan,Bethany Yuan,female,2019-02-05,Cloverdale,Australia
11031,Theresa,G,Ramos,Theresa Ramos,female,2019-02-01,Matraville,Australia
11032,Denise,NULL,Stone,Denise Stone,female,2019-02-18,Melbourne,Australia
11033,Jaime,NULL,Nath,Jaime Nath,Male,2019-02-15,Milsons Point,Australia
